number,title,id,check_link,date,folder,onb,notes
1:1,Sub tuum praesidium,I.5.19,true,2024-08-16,1–2,AC14308601,manual subdivision
1:2,Regina coeli,I.3.3,true,2024-08-16,1–2,AC14308601,
2,Regina coeli,I.3.21,true,2024-08-16,1–2,AC14308575,
3,Ecce quomodo a 4dro,D.3.1,true,2024-10-03,3–5,AC14308513,
4,Te lucis ante terminum,F.36,true,2024-10-03,3–5,AC14308624,
5/1,Salve Regina ex B,I.4.47,true,2024-10-03,3–5,AC14308590,
5/2,Regina coeli,I.3.10,true,2024-10-03,3–5,AC14308581,
6,Sub tuum praesidium,I.5.27,true,2024-11-29,6,AC14308606,
7:1,Sub tuum praesidium in C,I.5.18,true,2025-03-05,7,AC14308605,manual subdivision
7:2,Sub tuum praesidium in a,I.5.23,true,2025-03-05,7,AC14308605,
8,Litaniae lauretanae,G.13,true,2025-04-30,8,AC14308544,
9,Hymnus in festo Omnium Sanctorum,F.9,true,2025-06-20,9,AC14308526,
10,Hymnus Veni creator spiritus,F.43,true,2024-10-03,10,AC14308539,
11,Hymnus de Beata Virgine,F.59,true,2024-11-29,11,AC14308520,
12,Vexilla regis,F.4,true,2025-03-05,12,AC14308628,
13,Estote fortes in bello,D.1.2,true,2025-04-30,13,AC14308515,
14,Motetto de S. Michaele Archangele,D.1.8,true,2025-06-20,14,AC14308568,
15,Motetto de quovis Sancto vel Sancta,D.1.12,true,2025-10-21,15,AC14308566,
16,Motetto in Festo Pentecostes ,D.1.7,true,2025-12-03,16–17,AC14308561,
17,Motetto Ecce homo sine quaerella,D.1.10,true,2025-12-03,16–17,AC14308557,
18,Hymnus de Ste. Joanne Baptista,F.46,true,2026-02-12,18,AC14308529,
19,Salve Regina in D,I.4.21,true,2026-03-06,19,AC14308586,
20,Salve Regina,I.4.9,true,2024-11-29,20,AC14308587,
21:1,Salve Regina,I.4.47,true,2025-03-05,21,AC14308592,manual subdivision
21:2,Ave Regina coelorum,I.2.12,true,2025-03-05,21,AC14308592,
21:3,Alma Redemptoris Mater,I.1.26,true,2025-03-05,21,AC14308592,
22,Salve Regina,I.4.35,true,2025-04-30,22,AC14308594,
23,Regina coeli,I.3.6,true,2025-10-21,23–24,AC14308572,
24:1,Regina coeli,I.3.3,true,2025-10-21,23–24,AC14308573,manual subdivision
24:2,Alma Redemptoris Mater,I.1.8,true,2025-10-21,23–24,AC14308573,
25,Regina coeli,I.3.10,true,2025-12-03,25–26,AC14308574,
26,Ave Regina coelorum in cantu chorali,I.2.17,true,2025-12-03,25–26,AC14308510,
27,Ave Regina,I.2.12,true,2026-02-12,27–28,AC14308499,
28,Alma Redemptoris Mater,I.1.15,true,2026-02-12,27–28,AC14308479,
29:1,Ave Regina,I.2.4,true,2024-11-29,29–30,AC14308498,manual subdivision
